n,t,y
1000,0.6400,0.963616
1000,0.6450,0.962809
1000,0.6500,0.961990
1000,0.6550,0.961161
1000,0.6600,0.960320
1000,0.6650,0.959469
1000,0.6700,0.958606
1000,0.6750,0.957732
1000,0.6800,0.956847
1000,0.6850,0.955950
1000,0.6900,0.955043
1000,0.6950,0.954124
1000,0.7000,0.953193
1000,0.7050,0.952252
1000,0.7100,0.951298
1000,0.7150,0.950334
1000,0.7200,0.949358
1000,0.7250,0.948370
1000,0.7300,0.947370
1000,0.7350,0.946359
1000,0.7400,0.945337
1000,0.7450,0.944303
1000,0.7500,0.943256
1000,0.7550,0.942199
1000,0.7600,0.941129
1000,0.7650,0.940047
1000,0.7700,0.938954
1000,0.7750,0.937849
1000,0.7800,0.936732
1000,0.7850,0.935603
1000,0.7900,0.934462
1000,0.7950,0.933309
1000,0.8000,0.932143
1000,0.8050,0.930966
1000,0.8100,0.929777
1000,0.8150,0.928576
1000,0.8200,0.927362
1000,0.8250,0.926136
1000,0.8300,0.924898
1000,0.8350,0.923648
1000,0.8400,0.922386
1000,0.8450,0.921111
1000,0.8500,0.919824
1000,0.8550,0.918525
1000,0.8600,0.917214
1000,0.8650,0.915890
1000,0.8700,0.914554
1000,0.8750,0.913205
1000,0.8800,0.911844
1000,0.8850,0.910470
1000,0.8900,0.909085
1000,0.8950,0.907686
1000,0.9000,0.906275
1000,0.9050,0.904852
1000,0.9100,0.903416
1000,0.9150,0.901968
1000,0.9200,0.900507
1000,0.9250,0.899034
1000,0.9300,0.897548
1000,0.9350,0.896049
1000,0.9400,0.894538
1000,0.9450,0.893014
1000,0.9500,0.891478
1000,0.9550,0.889929
1000,0.9600,0.888367
1000,0.9650,0.886793
1000,0.9700,0.885206
1000,0.9750,0.883606
1000,0.9800,0.881994
1000,0.9850,0.880369
1000,0.9900,0.878732
1000,0.9950,0.877082
1000,1.0000,0.875419
1000,1.0050,0.873743
1000,1.0100,0.872055
1000,1.0150,0.870354
1000,1.0200,0.868640
1000,1.0250,0.866914
1000,1.0300,0.865175
1000,1.0350,0.863423
1000,1.0400,0.861659
1000,1.0450,0.859881
1000,1.0500,0.858092
1000,1.0550,0.856289
1000,1.0600,0.854474
1000,1.0650,0.852646
1000,1.0700,0.850805
1000,1.0750,0.848951
1000,1.0800,0.847085
1000,1.0850,0.845207
1000,1.0900,0.843315
1000,1.0950,0.841411
1000,1.1000,0.839494
1000,1.1050,0.837565
1000,1.1100,0.835623
1000,1.1150,0.833668
1000,1.1200,0.831700
1000,1.1250,0.829720
1000,1.1300,0.827727
1000,1.1350,0.825722
1000,1.1400,0.823704
1000,1.1450,0.821674
1000,1.1500,0.819630
1000,1.1550,0.817575
1000,1.1600,0.815506
1000,1.1650,0.813426
1000,1.1700,0.811332
1000,1.1750,0.809226
1000,1.1800,0.807108
1000,1.1850,0.804977
