n,t,y
1000,4.6100,-0.544813
1000,4.6150,-0.542600
1000,4.6200,-0.540373
1000,4.6250,-0.538132
1000,4.6300,-0.535878
1000,4.6350,-0.533610
1000,4.6400,-0.531329
1000,4.6450,-0.529034
1000,4.6500,-0.526725
1000,4.6550,-0.524403
1000,4.6600,-0.522068
1000,4.6650,-0.519720
1000,4.6700,-0.517358
1000,4.6750,-0.514983
1000,4.6800,-0.512595
1000,4.6850,-0.510194
1000,4.6900,-0.507780
1000,4.6950,-0.505353
1000,4.7000,-0.502913
1000,4.7050,-0.500460
1000,4.7100,-0.497995
1000,4.7150,-0.495517
1000,4.7200,-0.493026
1000,4.7250,-0.490523
1000,4.7300,-0.488008
1000,4.7350,-0.485480
1000,4.7400,-0.482939
1000,4.7450,-0.480386
1000,4.7500,-0.477821
1000,4.7550,-0.475244
1000,4.7600,-0.472655
1000,4.7650,-0.470054
1000,4.7700,-0.467441
1000,4.7750,-0.464815
1000,4.7800,-0.462179
1000,4.7850,-0.459530
1000,4.7900,-0.456869
1000,4.7950,-0.454197
1000,4.8000,-0.451514
1000,4.8050,-0.448819
1000,4.8100,-0.446112
1000,4.8150,-0.443395
1000,4.8200,-0.440665
1000,4.8250,-0.437925
1000,4.8300,-0.435174
1000,4.8350,-0.432411
1000,4.8400,-0.429637
1000,4.8450,-0.426853
1000,4.8500,-0.424058
1000,4.8550,-0.421251
1000,4.8600,-0.418434
1000,4.8650,-0.415607
1000,4.8700,-0.412769
1000,4.8750,-0.409920
1000,4.8800,-0.407061
1000,4.8850,-0.404192
1000,4.8900,-0.401312
1000,4.8950,-0.398422
1000,4.9000,-0.395522
1000,4.9050,-0.392612
1000,4.9100,-0.389691
1000,4.9150,-0.386761
1000,4.9200,-0.383821
1000,4.9250,-0.380872
1000,4.9300,-0.377912
1000,4.9350,-0.374943
1000,4.9400,-0.371965
1000,4.9450,-0.368977
1000,4.9500,-0.365979
1000,4.9550,-0.362972
1000,4.9600,-0.359956
1000,4.9650,-0.356931
1000,4.9700,-0.353897
1000,4.9750,-0.350853
1000,4.9800,-0.347801
1000,4.9850,-0.344740
1000,4.9900,-0.341670
1000,4.9950,-0.338591
1000,5.0000,-0.335504
